Ontario corporation number,"Incorporation date (year, month, day)",Co-operative name,Cooperative type,Suite number,Street number,Street name,P.O. box / RR# / other,City / town,Provincial code,Country code,Postal code
56302,19471118,The Hearst Farmers� Co-Operative,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",1105,George Street,"<abbr title=""not available"">N/A</abbr>",Hearst,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0L 1N0 
56369,19471027,Osgoode District Co-Operative Services Incorporated,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Regional Road"">R.R.</abbr> #3",Manotick,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0A 2N0 
57061,19480124,Vauxhall Co-Operative Apartments Limited,Housing Co-operatives,285,287,"Bold <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8P 1V9 
57235,19480529,Eastview Co-Operative Apartments Limited,Housing Co-operatives,1,265,"Weber <abbr title=""Street"">St</abbr> East","<abbr title=""not available"">N/A</abbr>",Kitchener,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N2H 1E9 
57409,19480529,Westdale Co-Operative Apartments Limited,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",1253,"Main <abbr title=""Street"">St</abbr> West","<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8S 1C4 
57608,19480901,Brant Park Co-Operative Apartments (Burlington) Limited,Housing Co-operatives,56,1163,"North Shore <abbr title=""Boulevard"">Blvd</abbr> East","<abbr title=""not available"">N/A</abbr>",Burlington,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L7S 1C3 
58363,19480416,United Co-Operatives Of Ontario,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",5600,Cancross Court,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L5A 3A4 
60015,19490913,Thistledown Co-Operative Apartments Limited,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",60,Robinson Street,"<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8P 1Y9 
60548,19491112,The Ontario Co-Operative Development Association,Service Co-operatives,104,25,Trillium Lane,"<abbr title=""not available"">N/A</abbr>",Chatham,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N7L 4A2 
60904,19500111,Churchill Co-Operative Apartments Limited,Housing Co-operatives,8,2405,Lakeshore Road,"<abbr title=""not available"">N/A</abbr>",Burlington,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L7R 1B8 
61011,19500125,Algoma Co-Operative Live Stock Sales,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Regional Road"">R.R.</abbr> #2",Iron Bridge,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0R 1H0 
62585,19500907,Lanedale Co-Operative Apartments Limited,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",2 & 8,Stroud Road,"<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8S 1Z6 
64161,19510523,Paradise Co-Operative Apartments Limited,Housing Co-operatives,7,802,King Street West,"<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8S 1K1 
64987,19511017,Co-Operative Funeraire Du District De Sudbury,Service Co-operatives,"<abbr title=""not available"">N/A</abbr>",222,"Lasalle <abbr title=""Boulevard"">Blvd</abbr>","<abbr title=""not available"">N/A</abbr>",Sudbury,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P3A 1W5 
65789,19520229,Rowan Fishermens Co-Operative,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>",8,Church Street,"<abbr title=""not available"">N/A</abbr>",Port Rowan,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0E 1M0 
