Ontario corporation number,"Incorporation date (year, month, day)",Co-operative name,Cooperative type,Suite number,Street number,Street name,P.O. box / RR# / other,City / town,Provincial code,Country code,Postal code
522515,19890718,"Les Petits Anges De Penetanguishene Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",54,Rue Dufferin,"<abbr title=""Post Office"">P.O.</abbr> Box 1648",Penetang,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L0K 1P0 
522517,19890803,"Trent-Moira Co-Operative Estates <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,20,173,Cannifton Road,"<abbr title=""not available"">N/A</abbr>",Belleville,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K8N 4V5 
522519,19890803,"Lom Nava Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,79,5955,Glen Erin Drive,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L5M 5N9 
522521,19890803,"Ujamaa Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",138,Bellamy Road North,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1J 3N9 
522522,19890808,"Kids Street Integrated Non-Profit Co-Operative Nursery School (Port Elgin) <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",624,Green Street,"<abbr title=""not available"">N/A</abbr>",Port Elgin,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0H 2C0 
522523,19890810,"Percy Heights Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,5,360,Springbank Avenue,"<abbr title=""not available"">N/A</abbr>",Woodstock,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N4T 1M4 
522524,19890824,"Elmvale Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,A,27,Yonge Street South,"<abbr title=""not available"">N/A</abbr>",Elmvale,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L0L 1P0 
522525,19890830,"Dowling Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",7,Douglas Crescent,"<abbr title=""not available"">N/A</abbr>",Dowling,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0M 1R0 
522526,19890830,"Pinafore Station Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,55,351,Manor Road,"<abbr title=""not available"">N/A</abbr>","<abbr title=""Saint"">St.</abbr> Thomas","<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N5R 5Z1 
522527,19890830,"Harvest Moon Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",1003,Notre Dame Avenue,"<abbr title=""not available"">N/A</abbr>",Sudbury,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P3A 2T7 
522528,19890911,"Ontario Organic Farmers Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Farming and Supply Co-operatives,1,335,Laird Road,"<abbr title=""not available"">N/A</abbr>",Guelph,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N1G 4P7 
522529,19890928,"Garderie Co-Operative Arc-En-Ciel D�Embrun <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Rang Street,"<abbr title=""case postale""lang=""fr"">C.P.</abbr> 196",Joseph Embrun,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0A 1W0 
522530,19890929,"Don Quixote Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,58,1315,"Maple Crossing <abbr title=""Boulevard"">Blvd</abbr>","<abbr title=""not available"">N/A</abbr>",Burlington,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L7S 2K8 
522531,19891002,"Country Spirit Co-Operative Homes Of London <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,27,14,Spirit Wood Court,"<abbr title=""not available"">N/A</abbr>",London,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N5Z 4Z8 
522532,19891005,"Northern Ontario Regional Co-Operative Housing Association <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,302,20,Ste Anne Road,"<abbr title=""not available"">N/A</abbr>",Sudbury,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P3C 5N4 
522533,19891017,"New Hibret Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",2,"Market <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5E 1Y9 
522534,19891017,"Karnafully Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",188,"Main <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4E 2W1 
522536,19891020,"Cooperative D�Habitation <abbr title=""Saint"">St</abbr> Georges Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",10,Henderson Ave,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1N 7P1 
522538,19891027,"Crossroads Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,51,470,Bunting Drive,"<abbr title=""not available"">N/A</abbr>",North Bay,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P1A 4K5 
522540,19891102,"Robert Cooke Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",20,Garnett Janes Road,13<sup>th</sup> Floor,Etobicoke,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M8V 3Z1 
522541,19891102,"Lakeshore Village Artists� Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,101,115,Birmingham Street,"<abbr title=""not available"">N/A</abbr>",Etobicoke,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M8V 3Z9 
522542,19891103,Dan Benedict Co-Operative Homes Corporation,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",120,Acorn Place,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4Z 3N5 
522543,19891106,"Ahneen Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,42A,2333,South Millway,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L5L 5W2 
522544,19891106,"Nakiska Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,OFFICE,3078,"Lakeshore <abbr title=""Boulevard"">Blvd</abbr> W Est",Office,Etobicoke,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M8V 3Y7 
522545,19891106,"Centre Green Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,43,172,Centre Street East,"<abbr title=""not available"">N/A</abbr>",Richmond Hill,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4C 0J1 
522546,19891108,"Cupe York Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",225,Industrial Parkway South,Unit 6,Aurora,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4G 3V5 
522548,19891115,"City Park Co-Operative Apartments <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,115,484,"Church <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4Y 2C7 
522549,19891120,"John Moynahan Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",1207,Labour Crescent,"<abbr title=""not available"">N/A</abbr>",Windsor,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N8W 5K6 
522550,19891123,"Bear Island Trading Post Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Consumer Co-operatives,"<abbr title=""not available"">N/A</abbr>",331,"Shuter <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5A 1W8 
522551,19891124,"Willmar Eight Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",25,Brucewood Crescent,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M6A 3C9 
522552,19891129,"Faethorne Place Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,111,1240,Afton Drive,"<abbr title=""not available"">N/A</abbr>",Sarnia,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N7S 6J8
522553,19891207,"The Tahwesin Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,44,17665,"Leslie <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Newmarket,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L3Y 3E3 
522554,19891208,"Southwestern Ontario Co-Operative Housing Federation <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",388,Dundas,2<sup>nd</sup> Floor,London,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N6B 1V7 
522557,19891222,Sunrise Place Non-Profit Housing Co-Operative Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",130,Centre Street South,"<abbr title=""not available"">N/A</abbr>",Oshawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L1H 8R9 
522559,19900109,"International Ladies Garment Workers Union Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",4050,Dixie Road,Management,Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4W 5H4 
522560,19900117,"Matthew Co-Operative Housing <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",201,Matthew Way,"<abbr title=""not available"">N/A</abbr>",Collingwood,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L9Y 4V3 
522561,19900119,"Meridian Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",185,Ferguson Avenue North,Office,Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8L 8H9 
522562,19900119,"Glenn Haddrell Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",209,Provender Avenue,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1K 4N8 
522564,19900205,"Saint Gregorios Senior Citizen Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",761,"Queen <abbr title=""Street"">St</abbr> West","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M6J 1G1 
522565,19900207,"Parkhill Co-Operative Playschool <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",225,"Mcleod <abbr title=""Street"">St</abbr>",Box 268,Parkhill,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0M 2K0 
522566,19900209,"Balfour Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",3604,Keith Avenue,"<abbr title=""not available"">N/A</abbr>",Chelmsford,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0M 1L0 
522568,19900228,"Cooperative D�Habitation Voisins <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",440,Wiggins Private,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1N 1A7 
522571,19900301,"Orchard Grove Child Care Co-Operative Centre <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",3392,Kingston Road,"<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1M 3W5 
522572,19900301,"Clintwood Non-Profit Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,12,1978,Victoria Park Avenue,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1R 1T9 
522573,19900301,"Greylawn Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,307,25,"Cecil <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5T 1N1 
522574,19900313,"Carpenter Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,92,181,Forestglade Crescent,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1G 5Z5 
522576,19900315,"La Cooperative D�Habitation La Seigneurie <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,80,98,Harris Drive,"<abbr title=""not available"">N/A</abbr>",North Bay,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P1A 4L2 
522577,19900319,"Jenny Green Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",300,George Street,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5A 2N3 
522578,19900402,"Brookside Village Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",41,Victoria Street,"<abbr title=""not available"">N/A</abbr>",Welland,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L3B 4L7 
522580,19900402,"Ivordale Non-Profit Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",25,"Cecil <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5T 1N1 
522581,19900402,"Songhouse Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,307,25,"Cecil <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5T 1N1 
522582,19900409,"Wellsboro Mansions Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",290,"Shuter <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5A 1W7 
522583,19900416,"Latchford Enterprises Co-Operative <abbr Title=""Limited"">Ltd.</abbr>",Consumer Co-operatives,"<abbr title=""not available"">N/A</abbr>",231,Paddon Street,"<abbr title=""not available"">N/A</abbr>",New Liskeard,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0J 1P0 
522584,19900418,"Gardenview Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",3370,Kingston Road,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1M3W7
522585,19900419,"Palace Place Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,100,129,Second Avenue South,"<abbr title=""not available"">N/A</abbr>",Sudbury,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P3B 4J3 
522586,19900419,"Nottawasaga Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",219,King Street North,"<abbr title=""not available"">N/A</abbr>",Alliston,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L9R 1N5 
522587,19900507,"Secord Avenue Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,15,80,Secord Avenue,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4C 5S1 
522588,19900509,"Alfred Haenchen Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",667,Pinerow Crescent,Unit #23,Waterloo,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N2T 2L5 
522590,19900525,"Elmview Estates Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,68,240,Burwell Road,"<abbr title=""not available"">N/A</abbr>","<abbr title=""Saint"">St.</abbr> Thomas","<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N5P 4H1 
522591,19900607,"Diane Frankling Co-Operative Homes, <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,5000,85,"Bleecker <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4X 1X1 
522592,19900608,Machaven Mansions Co-Operative Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",32,"Macklin <abbr title=""Street"">St</abbr> North","<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8S 3S1 
522593,19900618,"Consolidated Dealers Co-Operative <abbr title=""Incorporated"">Inc.</abbr</ Cooperative Concessionnaires Consolides <abbr title=""Incorporated"">Inc.</abbr>",Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",441,Hanlan Road,"<abbr title=""not available"">N/A</abbr>",Woodbridge,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4L 3T1 
522594,19900620,"Ryegate (Tecumseh) Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",1556,Community Crescent,"<abbr title=""not available"">N/A</abbr>",Tecumseh,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N8N 4T3 
522596,19900703,"Roedean (Oakville) Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",350,Kerr Street,"<abbr title=""not available"">N/A</abbr>",Oakville,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L6K 3X4 
522597,19900703,"Musson Mill Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",106,Cherrylawn Avenue,"<abbr title=""not available"">N/A</abbr>",Weston,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M9N 3V9 
522599,19900705,"Cole Road Co-Operative Community <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",125,Cole Road,"<abbr title=""not available"">N/A</abbr>",Guelph,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N1G 4S8 
522600,19900709,"Royal City Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",33 North,Unit 30,"<abbr title=""not available"">N/A</abbr>",Guelph,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N1H 5J6 
522601,19900709,"Edgeview Housing Co-Operative <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",112,George Street South,Office,Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5A 4P8 
522604,19900718,"Courtland Mews Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,4A,229,Meadowvale Road,"<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1C 5B2 
522605,19900723,"Sprucewoods Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,61,5,Benesfort Drive,"<abbr title=""not available"">N/A</abbr>",Kitchener,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N2N 3E3 
522606,19900724,"Beverley Hills Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",188,Main Street,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4E 2W1 
522607,19900724,"Las Americas Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",1185,Vanrose Street,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L5V 1W7 
522608,19900726,"Clarion Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,57,50,Morning Calm Drive,"<abbr title=""not available"">N/A</abbr>",Cambridge,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N1R 8G2 
522609,19900810,"Vineyard Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",41,Victoria Street,"<abbr title=""not available"">N/A</abbr>",Welland,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L3B 4L7 
522610,19900814,"Changemakers Co-Operative Homes (Kitchener) <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",3289,King Street East,"<abbr title=""not available"">N/A</abbr>",Kitchener,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N2A 4A6 
522611,19900816,"Mariposa Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,27A,1150,Gable Drive,"<abbr title=""not available"">N/A</abbr>",Oakville,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L6J 7R8 
522612,19900822,"Otonabee Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,302,101,Dundas Street West,"<abbr title=""not available"">N/A</abbr>",Whitby,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L1N 2M2 
522613,19900824,"Little Falls Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",5,Southvale Road,Office,"<abbr title=""Saint"">St.</abbr> Marys","<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N4X 1E9 
522614,19900827,"Triumph Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,302,51,Elm Street,"<abbr title=""not available"">N/A</abbr>",Sudbury,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P3C 1S3 
522615,19900906,"Peregrine Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",18,Grenville Street,"<abbr title=""not available"">N/A</abbr>",Grenville,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4Y 3B3 
522617,19900911,Erie Shores Co-Operative Corporation,Service Co-operatives,#317,1,"Terraview <abbr title=""Boulevard"">Blvd</abbr>","<abbr title=""not available"">N/A</abbr>",Scarborough,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M1R 4L5 
522618,19900912,"Lambton Feeder Finance Co-Operative <abbr title=""Limited"">Ltd.</abbr>",Financing Co-operatives,"<abbr title=""not available"">N/A</abbr>",7094,Bentpath Line,"<abbr title=""Regional Road"">R.R.</abbr> #1",Bothwell,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0P 1C0 
522619,19900917,"Regatta Place Co-Operative Homes <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",2,Lighthouse Road,"<abbr title=""not available"">N/A</abbr>","<abbr Title=""Saint"">St.</abbr> Catharines","<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L2N 7N9 
522620,19901001,"The Ontario Goat Farmers Co-Operative <abbr title=""Corporation"">Corp.</abbr>",Farming and Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",3285N,Cambridge/Clarence,"<abbr title=""Regional Road"">R.R.</abbr> #1",Bourget,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0A 1E0 
522621,19901002,"<abbr title=""Saint"">St.</abbr> Martin�s Co-Operative Homes Of London <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,32,82,Jensen Road,"<abbr title=""not available"">N/A</abbr>",London,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N5V 4R8 
