business_number,business_type,charity_name,corporate_name,charity_bn_full,business_bn_full,charity_status,charity_type,charity_city,charity_province,corporation_number
859559940,Federal Non-Profit,Resolute Church,Resolute Church,859559940RR0001,859559940RC0001,Registered,Charity,KITCHENER,ON,423328-0
778033480,Federal Non-Profit,UNA CHURCH,Una Church,778033480RR0001,778033480RC0001,Registered,Charity,KITCHENER,ON,1045563-6
108151887,Federal Non-Profit,Stanley Park Community Church,STANLEY PARK COMMUNITY CHURCH,108151887RR0001,108151887RC0001,Registered,Charity,KITCHENER,ON,1048236-6
756415873,Federal Non-Profit,Rock City Church Kitchener,ROCK CITY CHURCH KITCHENER,756415873RR0001,756415873RC0001,Registered,Charity,KITCHENER,ON,1179295-4
778271940,Federal Non-Profit,Debre Tsion Saint Mary Tigray Orthodox Tewahdo Church of Southwestern Ontario (DTSMTOTCSO),Debre Tsion Saint Mary Tigray Orthodox Tewahdo Church of Southwestern Ontario (DTSMTOTCSO),778271940RR0001,778271940RC0001,Registered,Charity,KITCHENER,ON,1274440-6
834218976,Federal Non-Profit,EBENEZER COMMUNITY CHURCH,EBENEZER COMMUNITY CHURCH,834218976RR0001,834218976RC0001,Registered,Charity,KITCHENER,ON,1317844-7
729128942,Federal Non-Profit,Kitchener Tamil Church,Kitchener Tamil Church,729128942RR0001,729128942,Registered,Charity,KITCHENER,ON,1482908-5
132879438,Federal Non-Profit,"MARTIN LUTHER EVANGELICAL CHURCH, INC.","MARTIN LUTHER EVANGELICAL CHURCH, INC.",132879438RR0001,132879438RC0001,Registered,Charity,KITCHENER,ON,326528-5
847423902,Federal Non-Profit,Pillar of Fire Churches International,Pillar of Fire Churches International,847423902RR0001,847423902RC0001,Registered,Charity,KITCHENER,ON,793784-9
849482773,Federal Non-Profit,Coalition of Muslim Women of KW,Coalition of Muslim Women of KW,849482773RR0001,849482773RC0001,Registered,Charity,KITCHENER,ON,862249-3
728837337,Federal Non-Profit,Togetherness Collective,Togetherness Collective,728837337RR0001,728837337RC0001,Registered,Charity,KITCHENER,ON,1213614-7
802916049,Federal Non-Profit,Fostering Communication,Fostering Communication,802916049RR0001,802916049RC0001,Registered,Charity,KITCHENER,ON,892866-5
132170994,Federal Non-Profit,Waterloo Region Community Foundation,Waterloo Region Community Foundation,132170994RR0001,132170994RC0001,Registered,Charity,KITCHENER,ON,1034137-1
813963675,Federal Non-Profit,GLA Theatre Company,GLA Theatre Company,813963675RR0001,813963675RC0001,Registered,Charity,KITCHENER,ON,433462-1
888674462,Federal Non-Profit,CROSSWAYS TO LIFE,Crossways to Life,888674462RR0001,888674462RC0001,Registered,Charity,KITCHENER,ON,325289-2
758332548,Federal Non-Profit,Second Stage Dance,Second Stage Dance,758332548RR0001,758332548RC0001,Registered,Charity,KITCHENER,ON,1445315-8
776360810,Federal Non-Profit,Divine Light World,DIVINE LIGHT WORLD,776360810RR0001,776360810,Registered,Charity,KITCHENER,ON,1470783-4
137747705,Federal Non-Profit,RisingOaks Early Learning Ontario,RisingOaks Early Learning Ontario,137747705RR0001,137747705RC0001,Registered,Charity,KITCHENER,ON,1018246-0
